20150804  10:03:55,116.05,116,116.05,116.04,182,84,116.039,0
20150804  10:04:00,116.05,116.01,116.05,116.04,172,93,116.031,0
20150804  10:04:05,116.05,116.04,116.09,116.05,395,161,116.056,0
20150804  10:04:10,116.06,116.05,116.12,116.11,323,116,116.096,0
20150804  10:04:15,116.12,116.1,116.16,116.12,437,207,116.132,0
20150804  10:04:20,116.12,116.07,116.13,116.07,252,116,116.107,0
20150804  10:04:25,116.11,116.08,116.13,116.09,153,77,116.107,0
20150804  10:04:30,116.1,116.09,116.12,116.1,629,62,116.105,0
20150804  10:04:35,116.09,116.09,116.15,116.1,208,139,116.121,0
20150804  10:04:40,116.09,116.03,116.13,116.08,243,128,116.079,0
20150804  10:04:45,116.08,116.02,116.09,116.04,250,95,116.056,0
20150804  10:04:50,116.05,116,116.09,116.03,330,167,116.041,0
20150804  10:04:55,116.03,116.02,116.05,116.03,171,109,116.034,0
20150804  10:05:00,116.03,116.02,116.04,116.03,178,75,116.034,0
20150804  10:05:05,116.03,115.94,116.04,115.98,792,319,116.001,0
20150804  10:05:10,115.99,115.94,116.03,115.95,185,108,115.989,0
20150804  10:05:15,115.95,115.92,115.96,115.92,164,83,115.948,0
20150804  10:05:20,115.92,115.87,115.93,115.91,416,104,115.905,0
20150804  10:05:25,115.92,115.91,115.95,115.93,165,46,115.919,0
20150804  10:05:30,115.92,115.83,115.93,115.89,231,147,115.874,0
20150804  10:05:35,115.89,115.83,115.89,115.84,109,41,115.866,0
20150804  10:05:40,115.84,115.76,115.85,115.76,306,158,115.808,0
20150804  10:05:45,115.76,115.76,115.79,115.78,295,88,115.777,0
20150804  10:05:50,115.79,115.77,115.87,115.86,291,139,115.835,0
20150804  10:05:55,115.87,115.85,115.89,115.87,67,44,115.869,0
20150804  10:06:00,115.86,115.86,115.89,115.87,281,124,115.872,0
20150804  10:06:05,115.88,115.8,115.89,115.8,402,145,115.852,0
20150804  10:06:10,115.8,115.8,115.87,115.86,187,97,115.843,0
20150804  10:06:15,115.86,115.86,115.92,115.92,123,60,115.887,0
20150804  10:06:20,115.91,115.88,115.97,115.96,182,86,115.925,0
20150804  10:06:25,115.96,115.92,115.98,115.97,154,74,115.945,0
20150804  10:06:30,115.98,115.97,116.03,116.02,529,129,116,0
20150804  10:06:35,116.02,116.01,116.1,116.1,676,161,116.06,0
20150804  10:06:40,116.1,116.06,116.13,116.08,343,169,116.096,0
20150804  10:06:45,116.09,116.06,116.1,116.1,167,55,116.085,0
20150804  10:06:50,116.09,116.09,116.15,116.12,363,192,116.121,0
20150804  10:06:55,116.13,116.03,116.19,116.05,835,318,116.11,0
20150804  10:07:00,116.08,116.05,116.09,116.08,230,123,116.073,0
20150804  10:07:05,116.09,116.07,116.11,116.07,205,86,116.092,0
20150804  10:07:10,116.08,116.03,116.09,116.03,128,87,116.05,0
20150804  10:07:15,116.05,115.99,116.06,116.06,235,103,116.014,0
20150804  10:07:20,116.05,116.03,116.07,116.03,127,74,116.051,0
20150804  10:07:25,116.04,116.03,116.07,116.04,97,66,116.045,0
20150804  10:07:30,116.04,115.98,116.07,115.99,311,187,116.036,0
20150804  10:07:35,115.99,115.95,116.03,115.99,401,185,115.995,0
20150804  10:07:40,115.98,115.9,115.99,115.92,267,118,115.936,0
20150804  10:07:45,115.93,115.9,115.94,115.92,152,91,115.922,0
20150804  10:07:50,115.92,115.86,115.93,115.87,125,83,115.898,0
20150804  10:07:55,115.87,115.81,115.88,115.81,327,116,115.84,0
20150804  10:08:00,115.84,115.82,115.89,115.83,288,113,115.854,0
20150804  10:08:05,115.84,115.81
